NEGERI,KATEGORI,kodPAR,namaPAR,kodDUN,namaDUN,KODLOKALITI,KOD AND DM ,NAMA DAERAH MENGUNDI,TEMPAT MENGUNDI,SALURAN,KERTAS UNDI DALAM TONG UNDI,UNDI BAIK,UNDI ROSAK,UNDI TIDAK DILETAK BALIK,BN,BN_CALON,BN_VOTE,PR_1,PR_1_CALON,PR_1_VOTE,PR_2,PR_2_CALON,PR_2_VOTE,OTHER1,OTHER1_CALON,OTHER1_VOTE,OTHER2,OTHER2_CALON,OTHER2_VOTE,OTHER3,OTHER3_CALON,OTHER3_VOTE,OTHER4,OTHER4_CALON,OTHER4_VOTE,OTHER5,OTHER5_CALON,OTHER5_VOTE
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/01,LADANG SUNGAI PALAS 078/01/01,LADANG SUNGAI PALAS,SEK. JENIS KEB. (T) LADANG SUNGAI PALAS,,153,142,11,0,GERAKAN,HO YIP KAP,91,DAP,LEONG NGAH NGAH,43,,,0,BEBAS,CHEAM MAY CHOO,8,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/02,KAMPUNG RAJA 078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,,1531,1516,15,0,GERAKAN,HO YIP KAP,226,DAP,LEONG NGAH NGAH,1277,,,0,BEBAS,CHEAM MAY CHOO,13,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/03,LADANG BLUE VALLEY 078/01/03,LADANG BLUE VALLEY,SEK. JENIS KEB. (T) LADANG BLUE VALLEY,,244,240,4,0,GERAKAN,HO YIP KAP,63,DAP,LEONG NGAH NGAH,171,,,0,BEBAS,CHEAM MAY CHOO,6,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/04,POSTERISU 078/01/04,POSTERISU,SEK. KEB. TERISU,,293,266,27,0,GERAKAN,HO YIP KAP,250,DAP,LEONG NGAH NGAH,16,,,0,BEBAS,CHEAM MAY CHOO,0,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/05,KUALATERLA 078/01/05,KUALATERLA,SEK. JENIS KEB. (C) KUALA TERLA,,1050,1027,23,0,GERAKAN,HO YIP KAP,186,DAP,LEONG NGAH NGAH,815,,,0,BEBAS,CHEAM MAY CHOO,26,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/06,TERINGKAP 078/01/06,TERINGKAP,SEK. JENIS KEB. (C) TRINGKAP,,1038,1025,12,1,GERAKAN,HO YIP KAP,136,DAP,LEONG NGAH NGAH,875,,,0,BEBAS,CHEAM MAY CHOO,14,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/07,POS TELANUK 078/01/07,POS TELANUK,SEK. KEB. TELANUK,,389,346,43,0,GERAKAN,HO YIP KAP,332,DAP,LEONG NGAH NGAH,4,,,0,BEBAS,CHEAM MAY CHOO,10,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/08,KEA FARM 078/01/08,KEA FARM,SEK. JENIS KEB. (C) KEA FARM,,359,354,5,0,GERAKAN,HO YIP KAP,120,DAP,LEONG NGAH NGAH,228,,,0,BEBAS,CHEAM MAY CHOO,6,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/09,LADANG BOH 2 078/01/09,LADANG BOH 2,SEK. JENIS KEB. (T) LADANG BOH 2,,128,125,3,0,GERAKAN,HO YIP KAP,90,DAP,LEONG NGAH NGAH,31,,,0,BEBAS,CHEAM MAY CHOO,4,,,0,,,0,,,0,,,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/10,BERINCHANG 078/01/10,BERINCHANG,SEK. JENIS KEB. (C) BRINCHANG,,1540,1507,33,0,GERAKAN,HO YIP KAP,619,DAP,LEONG NGAH NGAH,812,,,0,BEBAS,CHEAM MAY CHOO,76,,,0,,,0,,,0,,,0
