KodNegeri,State,KodPar,Parliament,KodDun,DUN,KodDM,DM,KodPenuh,GE13 Voters,2015 Q3 Voters,Growth (%),GE13_Malay,GE13_Chinese,GE13_Indian,GE13_Bumi_Sabah,GE13_Bumi_Sarawak,GE13_Lain_Lain,2015_Q3_Malay,2015_Q3_Chinese,2015_Q3_Indian,2015_Q3_Bumi_Sabah,2015_Q3_Bumi_Sarawak,2015_Q3_Lain_Lain,2015_Q3_Unknown,GE13_Malay_%,GE13_Chinese_%,GE13_Indian_%,GE13_Bumi_Sabah_%,GE13_Bumi_Sarawak_%,Ge13_Lain_lain_%,2015_Q3_Malay_%,2015_Q3_Chinese_%,2015_Q3_Indian_%,2015_Q3_Bumi_Sabah_%,2015_Q3_Bumi_Sarawak_%,2015_Q3_Lain_lain_%,2015_Q3_Unknown_%
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,01,LADANG SUNGAI PALAS,078/01/01,226,223,-1.327433628,67,5,152,0,0,2,66,5,150,0,0,2,0,29.6460177,2.212389381,67.25663717,0,0,0.884955752,29.59641256,2.242152466,67.26457399,0,0,0.896860987,0
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,02,KAMPUNG RAJA,078/01/02,1875,1885,0.533333333,183,1578,106,0,3,5,182,1581,111,0,3,6,2,9.76,84.16,5.653333333,0,0.16,0.266666667,9.655172414,83.87267905,5.888594164,0,0.159151194,0.318302387,0.106100796
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,03,LADANG BLUE VALLEY,078/01/03,335,327,-2.388059701,2,58,274,0,0,1,2,60,264,0,0,1,0,0.597014925,17.31343284,81.79104478,0,0,0.298507463,0.611620795,18.34862385,80.73394495,0,0,0.305810398,0
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,04,POS TERISU,078/01/04,368,357,-2.989130435,7,1,1,0,1,358,8,1,2,0,1,345,0,1.902173913,0.27173913,0.27173913,0,0.27173913,97.2826087,2.240896359,0.280112045,0.56022409,0,0.280112045,96.63865546,0
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,05,KUALA TERLA,078/01/05,1316,1323,0.531914894,36,630,635,2,0,13,38,625,645,2,0,13,0,2.73556231,47.87234043,48.25227964,0.151975684,0,0.987841945,2.872260015,47.24111867,48.75283447,0.15117158,0,0.982615268,0
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,06,TERINGKAP,078/01/06,1256,1253,-0.238853503,9,1215,31,0,1,0,11,1205,31,1,1,0,4,0.71656051,96.73566879,2.468152866,0,0.079617834,0,0.877893057,96.16919393,2.474062251,0.07980846,0.07980846,0,0.319233839
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,07,POS TELANUK,078/01/07,470,472,0.425531915,2,2,1,0,0,465,10,3,4,0,0,455,0,0.425531915,0.425531915,0.212765957,0,0,98.93617021,2.118644068,0.63559322,0.847457627,0,0,96.39830508,0
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,08,KEA FARM,078/01/08,443,433,-2.257336343,5,402,21,0,0,15,6,391,21,0,0,14,1,1.128668172,90.74492099,4.740406321,0,0,3.386004515,1.385681293,90.30023095,4.849884527,0,0,3.233256351,0.230946882
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,09,LADANG BOH 2,078/01/09,268,245,-8.582089552,52,4,154,0,0,58,50,4,134,0,0,57,0,19.40298507,1.492537313,57.46268657,0,0,21.64179104,20.40816327,1.632653061,54.69387755,0,0,23.26530612,0
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,10,BERINCHANG,078/01/10,2165,2161,-0.184757506,591,932,344,3,0,295,605,915,346,3,0,291,1,27.29792148,43.04849885,15.8891455,0.138568129,0,13.62586605,27.99629801,42.34150856,16.01110597,0.138824618,0,13.46598797,0.046274873
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,11,TANAH RATA,078/01/11,2422,2450,1.156069364,918,601,777,2,2,122,931,595,797,3,2,120,2,37.90255987,24.81420314,32.08092486,0.082576383,0.082576383,5.037159372,38,24.28571429,32.53061224,0.12244898,0.081632653,4.897959184,0.081632653
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,12,HABU,078/01/12,721,716,-0.693481276,72,327,252,1,0,69,74,324,251,1,0,66,0,9.986130374,45.35367545,34.95145631,0.138696255,0,9.570041609,10.33519553,45.25139665,35.05586592,0.139664804,0,9.217877095,0
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,13,BANDAR RINGLET,078/01/13,2137,2143,0.280767431,116,1622,394,0,1,4,121,1614,400,0,1,4,3,5.428170332,75.90079551,18.4370613,0,0.046794572,0.187178287,5.646290247,75.314979,18.66542231,0,0.046663556,0.186654223,0.139990667
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,14,LADANG BOH 1,078/01/14,215,212,-1.395348837,54,5,152,0,0,4,55,4,148,0,0,4,1,25.11627907,2.325581395,70.69767442,0,0,1.860465116,25.94339623,1.886792453,69.81132075,0,0,1.886792453,0.471698113
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,15,LEMBAH BERTAM,078/01/15,1967,1936,-1.576004067,29,1591,110,4,1,232,31,1559,112,4,1,228,1,1.474326385,80.88459583,5.592272496,0.203355363,0.050838841,11.79461108,1.601239669,80.5268595,5.785123967,0.20661157,0.051652893,11.7768595,0.051652893
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,16,POS MENSUN,078/01/16,461,464,0.650759219,8,0,0,1,0,452,16,0,3,0,0,445,0,1.735357918,0,0,0.21691974,0,98.04772234,3.448275862,0,0.646551724,0,0,95.90517241,0
06,PAHANG,078,CAMERON HIGHLANDS,01,TANAH RATA,17,POS LEMOI,078/01/17,151,166,9.933774834,0,0,0,0,0,151,8,1,10,0,0,146,1,0,0,0,0,0,100,4.819277108,0.602409639,6.024096386,0,0,87.95180723,0.602409639
06,PAHANG,078,CAMERON HIGHLANDS,02,JELAI,01,POS LANAI,078/02/01,330,329,-0.303030303,18,1,1,0,0,310,19,1,5,0,0,304,0,5.454545455,0.303030303,0.303030303,0,0,93.93939394,5.775075988,0.303951368,1.519756839,0,0,92.40121581,0
