NEGERI,KATEGORI,kodPAR,namaPAR,kodDUN,namaDUN,KODLOKALITI,KOD AND DM ,NAMA DAERAH MENGUNDI,TEMPAT MENGUNDI,SALURAN,KERTAS UNDI DALAM TONG UNDI,UNDI BAIK,UNDI ROSAK,UNDI TIDAK DILETAK BALIK,BN,BN_CALON,BN_VOTE,PR_1,PR_1_CALON,PR_1_VOTE,PR_2,PR_2_CALON,PR_2_VOTE,OTHER1,OTHER1_CALON,OTHER1_VOTE,OTHER2,OTHER2_CALON,OTHER2_VOTE,OTHER3,OTHER3_CALON,OTHER3_VOTE,OTHER4,OTHER4_CALON,OTHER4_VOTE,OTHER5,OTHER5_CALON,OTHER5_VOTE,BN_%,PR_1_%,PR_2_%,Other_1_%,Other_2_%,Other_3_%,Other_4_%,Other_5_%,Rosak_%,Tidak_Diletak_Balik_%
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/01,LADANG SUNGAI PALAS 078/01/01,LADANG SUNGAI PALAS,SEK. JENIS KEB. (T) LADANG SUNGAI PALAS,,153,144,9,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,103,DAP,MANOGARAN A/L MARIMUTHU,38,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,2,BEBAS,KISHO KUMAR KATIRVELOO,1,BEBAS,ALAGU A/L THANGARAJOO,0,,,0,,,0,67.32026144,24.83660131,,1.307189542,0.653594771,0,,,5.882352941,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/02,KAMPUNG RAJA 078/01/02 ,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,,1531,1524,7,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,245,DAP,MANOGARAN A/L MARIMUTHU,1260,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,18,BEBAS,KISHO KUMAR KATIRVELOO,1,BEBAS,ALAGU A/L THANGARAJOO,0,,,0,,,0,16.00261267,82.29915088,,1.175702155,0.065316786,0,,,0.457217505,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/03,LADANG BLUE VALLEY 078/01/03,LADANG BLUE VALLEY,SEK. JENIS KEB. (T) LADANG BLUE VALLEY,,244,240,4,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,87,DAP,MANOGARAN A/L MARIMUTHU,148,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,3,BEBAS,KISHO KUMAR KATIRVELOO,1,BEBAS,ALAGU A/L THANGARAJOO,1,,,0,,,0,35.6557377,60.6557377,,1.229508197,0.409836066,0.409836066,,,1.639344262,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/04,POSTERISU 078/01/04,POSTERISU,SEK. KEB. TERISU,,293,275,18,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,257,DAP,MANOGARAN A/L MARIMUTHU,13,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,0,BEBAS,KISHO KUMAR KATIRVELOO,3,BEBAS,ALAGU A/L THANGARAJOO,2,,,0,,,0,87.71331058,4.436860068,,0,1.023890785,0.682593857,,,6.14334471,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/05,KUALATERLA 078/01/05 ,KUALATERLA,SEK. JENIS KEB. (C) KUALA TERLA,,1050,1033,17,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,230,DAP,MANOGARAN A/L MARIMUTHU,794,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,4,BEBAS,KISHO KUMAR KATIRVELOO,5,BEBAS,ALAGU A/L THANGARAJOO,0,,,0,,,0,21.9047619,75.61904762,,0.380952381,0.476190476,0,,,1.619047619,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/06,TERINGKAP 078/01/06 ,TERINGKAP,SEK. JENIS KEB. (C) TRINGKAP,,1038,1027,10,1,MIC,PALANIVEL A/L K. GOVINDASAMY ,151,DAP,MANOGARAN A/L MARIMUTHU,873,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,3,BEBAS,KISHO KUMAR KATIRVELOO,0,BEBAS,ALAGU A/L THANGARAJOO,0,,,0,,,0,14.54720617,84.10404624,,0.289017341,0,0,,,0.963391137,0.096339114
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/07,POS TELANUK 078/01/07,POS TELANUK,SEK. KEB. TELANUK,,389,334,55,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,291,DAP,MANOGARAN A/L MARIMUTHU,2,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,2,BEBAS,KISHO KUMAR KATIRVELOO,3,BEBAS,ALAGU A/L THANGARAJOO,36,,,0,,,0,74.80719794,0.514138817,,0.514138817,0.771208226,9.254498715,,,14.13881748,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/08,KEA FARM 078/01/08,KEA FARM,SEK. JENIS KEB. (C) KEA FARM,,359,350,9,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,86,DAP,MANOGARAN A/L MARIMUTHU,261,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,1,BEBAS,KISHO KUMAR KATIRVELOO,1,BEBAS,ALAGU A/L THANGARAJOO,1,,,0,,,0,23.95543175,72.70194986,,0.278551532,0.278551532,0.278551532,,,2.506963788,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/09,LADANG BOH 2 078/01/09,LADANG BOH 2,SEK. JENIS KEB. (T) LADANG BOH 2,,128,125,3,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,96,DAP,MANOGARAN A/L MARIMUTHU,25,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,2,BEBAS,KISHO KUMAR KATIRVELOO,1,BEBAS,ALAGU A/L THANGARAJOO,1,,,0,,,0,75,19.53125,,1.5625,0.78125,0.78125,,,2.34375,0
PAHANG,UNDI BIASA,P078,CAMERON HIGHLANDS,N01,TANAH RATA,078/01/10,BERINCHANG 078/01/10 ,BERINCHANG,SEK. JENIS KEB. (C) BRINCHANG,,1540,1505,35,0,MIC,PALANIVEL A/L K. GOVINDASAMY ,646,DAP,MANOGARAN A/L MARIMUTHU,820,,,0,BERJASA,MOHD SHOKRI BIN MAHMOOD,35,BEBAS,KISHO KUMAR KATIRVELOO,3,BEBAS,ALAGU A/L THANGARAJOO,1,,,0,,,0,41.94805195,53.24675325,,2.272727273,0.194805195,0.064935065,,,2.272727273,0
